subject,slice,filter,psnr,ssim
FL_to_SRI_defaced,83,mean,29.5501,0.9216
FL_to_SRI_defaced,83,median,31.1749,0.9354
FL_to_SRI_defaced,84,gaussian,29.0785,0.9208
FL_to_SRI_defaced,84,mean,29.3745,0.9218
FL_to_SRI_defaced,84,median,30.9832,0.9358
FL_to_SRI_defaced,85,gaussian,29.3419,0.9231
FL_to_SRI_defaced,85,mean,29.6425,0.9244
FL_to_SRI_defaced,85,median,31.0936,0.9377
FL_to_SRI_defaced,86,gaussian,29.3615,0.9224
FL_to_SRI_defaced,86,mean,29.6823,0.9238
FL_to_SRI_defaced,86,median,31.147,0.9373
T2_to_SRI_defaced,67,gaussian,33.1888,0.9576
T2_to_SRI_defaced,67,mean,33.6022,0.9603
T2_to_SRI_defaced,67,median,35.7991,0.9712
T2_to_SRI_defaced,68,gaussian,33.4806,0.9578
T2_to_SRI_defaced,68,mean,33.8627,0.9603
T2_to_SRI_defaced,68,median,36.1144,0.9714
T2_to_SRI_defaced,69,gaussian,33.2213,0.9561
T2_to_SRI_defaced,69,mean,33.5663,0.9589
T2_to_SRI_defaced,69,median,35.8473,0.9712
T2_to_SRI_defaced,70,gaussian,32.8408,0.9549
T2_to_SRI_defaced,70,mean,33.1693,0.958
T2_to_SRI_defaced,70,median,35.4773,0.971
T2_to_SRI_defaced,71,gaussian,32.4889,0.9541
T2_to_SRI_defaced,71,mean,32.8453,0.9574
T2_to_SRI_defaced,71,median,35.2784,0.9707
T2_to_SRI_defaced,72,gaussian,32.6272,0.9544
T2_to_SRI_defaced,72,mean,32.9914,0.9577
T2_to_SRI_defaced,72,median,35.5875,0.9718
T2_to_SRI_defaced,73,gaussian,32.5561,0.9538
T2_to_SRI_defaced,73,mean,32.9268,0.9572
T2_to_SRI_defaced,73,median,35.6809,0.9721
T2_to_SRI_defaced,74,gaussian,32.0161,0.9524
T2_to_SRI_defaced,74,mean,32.4004,0.9562
T2_to_SRI_defaced,74,median,35.2535,0.9715
T2_to_SRI_defaced,75,gaussian,31.5367,0.9511
T2_to_SRI_defaced,75,mean,31.9577,0.9551
T2_to_SRI_defaced,75,median,34.9445,0.9709
T2_to_SRI_defaced,76,gaussian,31.8037,0.9512
T2_to_SRI_defaced,76,mean,32.2364,0.955
T2_to_SRI_defaced,76,median,34.9473,0.9697
T2_to_SRI_defaced,77,gaussian,31.9884,0.9514
T2_to_SRI_defaced,77,mean,32.3983,0.9548
T2_to_SRI_defaced,77,median,34.8074,0.9681
T2_to_SRI_defaced,78,gaussian,32.5112,0.9531
T2_to_SRI_defaced,78,mean,32.8828,0.9562
T2_to_SRI_defaced,78,median,35.0459,0.9685
T2_to_SRI_defaced,79,gaussian,32.9887,0.9548
T2_to_SRI_defaced,79,mean,33.3229,0.9577
T2_to_SRI_defaced,79,median,35.41,0.9696
T2_to_SRI_defaced,80,gaussian,32.9363,0.9549
T2_to_SRI_defaced,80,mean,33.2379,0.9577
T2_to_SRI_defaced,80,median,35.2706,0.9696
T2_to_SRI_defaced,81,gaussian,32.9361,0.9554
T2_to_SRI_defaced,81,mean,33.1874,0.9579
T2_to_SRI_defaced,81,median,35.1272,0.9697
T2_to_SRI_defaced,82,gaussian,32.982,0.9563
T2_to_SRI_defaced,82,mean,33.1954,0.9584
T2_to_SRI_defaced,82,median,35.1374,0.9701
T2_to_SRI_defaced,83,gaussian,33.0671,0.957
T2_to_SRI_defaced,83,mean,33.2526,0.9588
T2_to_SRI_defaced,83,median,35.0993,0.9701
T2_to_SRI_defaced,84,gaussian,32.6565,0.9563
T2_to_SRI_defaced,84,mean,32.8088,0.9578
T2_to_SRI_defaced,84,median,34.6403,0.9695
T2_to_SRI_defaced,85,gaussian,32.9006,0.9569
T2_to_SRI_defaced,85,mean,32.9989,0.958
T2_to_SRI_defaced,85,median,34.7435,0.969
T2_to_SRI_defaced,86,gaussian,33.4054,0.9578
T2_to_SRI_defaced,86,mean,33.4991,0.9589
T2_to_SRI_defaced,86,median,35.2102,0.9692
T1CE_to_SRI_defaced,67,gaussian,33.0492,0.9679
T1CE_to_SRI_defaced,67,mean,33.7819,0.9729
T1CE_to_SRI_defaced,67,median,36.6294,0.9856
T1CE_to_SRI_defaced,68,gaussian,32.5096,0.9665
T1CE_to_SRI_defaced,68,mean,33.2707,0.9716
